,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,WATER YEAR
1973,20.79032258,26.07142857,42.66129032,47.9,58.67741935,71.98333333,73.5,73.35483871,62.81666667,57.32258065,38.7,20.74193548,49.54331797,48.2078341
1974,16.80645161,25.57142857,38.08064516,51.9,58.33870968,68,77.79032258,68.19354839,59.33333333,53.43548387,37.51666667,25.38709677,48.36280722,48.39824629
1975,20.20967742,21.39285714,28.22580645,44.4,63.96774194,69.71666667,74.17741935,72.9516129,59.63333333,54.51612903,40.9,27.5483871,48.13663594,47.58453021
1976,21.85483871,33.0862069,38.30645161,53.63333333,58.96774194,69.2,74.70967742,71.35483871,63.96666667,46.83870968,31.08333333,19.27419355,48.52299932,50.67035595
1977,8.661290323,28.89285714,43.38709677,56.83333333,68.41935484,73.15,78.4516129,69.69354839,65.55,50.30645161,36.21666667,21.51612903,50.08986175,49.18627752
1978,9.532258065,12.76785714,32.41935484,49.88333333,60.93548387,70.51666667,73.11290323,71.46774194,68.91666667,50.66129032,35.81666667,19.48387097,46.29284114,46.46595942
1979,5.693548387,11.5,32.72580645,44.81666667,60.27419355,69.98333333,72.27419355,71.61290323,65.01666667,52.37096774,36.18333333,30.32258065,46.06451613,44.98826165
1980,20.79032258,20.0862069,33.33870968,51.25,62.74193548,69.66666667,76.72580645,73.72580645,65.96666667,49.22580645,39.88333333,25.62903226,49.08585774,49.43075022
1981,24.14516129,29.26785714,41.4516129,55.93333333,59.20967742,71.8,74.08064516,70.01612903,64.23333333,49.69354839,40.61666667,23,50.28733039,50.4063268
1982,8.290322581,20.5,33.85483871,45.38333333,63,65.35,74.12903226,70.69354839,62.9,52.77419355,35.51666667,29.33870968,46.8108871,46.45094086
1983,24.88709677,29.67857143,35.75806452,43.55,56.69354839,70.98333333,77.16129032,78.46774194,65.61666667,52.03225806,38.06666667,8.532258065,48.45229135,50.03549027
1984,17.5,33.36206897,28.93548387,47.65,58.27419355,71.93333333,72.70967742,73.72580645,63.23333333,52.90322581,38.88333333,26.80645161,48.82640897,47.16292331
1985,15.91935484,20.625,41.19354839,55.4,64.74193548,67.61666667,73.19354839,68.93548387,64.43333333,51.72580645,28.71666667,11.4516129,46.99607975,49.22099014
1986,24.51612903,19.94642857,42.35483871,54.13333333,61.80645161,72.15,75.93548387,67.79032258,66.81666667,52.20967742,31.68333333,25.93548387,49.60651242,48.11197837
1987,26.72580645,35.21428571,42.03225806,55.08333333,66.58064516,73.7,75.88709677,70.20967742,64.13333333,48.27419355,42.05,28.64516129,52.37798259,51.61624424
1988,17.11290323,21.63793103,40.32258065,50.48333333,67.48387097,74.63333333,75.67741935,76.38709677,66.03333333,48.11290323,38.76666667,27.01612903,50.30562508,50.72842974
1989,30.43548387,14.57142857,34.93548387,51.18333333,60.91935484,68.43333333,74.9516129,71.16129032,61.36666667,53.70967742,34.23333333,15.29032258,47.59927675,48.48780722
1990,31.16129032,28.875,40.46774194,49.9,57.75806452,71.06666667,72.64516129,72.29032258,67.85,52.80645161,41.8,20.12903226,50.5624776,49.60396505
1991,13.40322581,30.28571429,40.32258065,52.26666667,64.93548387,74,73.83870968,71.41935484,63.41666667,51.12903226,28.43333333,27.69354839,49.26202637,49.88532386
1992,28.51612903,32.46551724,40.25806452,47.25,61.85483871,69.2,68.66129032,65.9516129,62.68333333,51.75806452,32.83333333,23.93548387,48.78063898,48.674725
1993,17.96774194,18.48214286,31.46774194,45.66666667,60.27419355,68.13333333,72.38709677,71.48387097,58.53333333,50.72580645,34.95,26.29032258,46.36352087,46.07691692
